,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",-1.0,8/23/11 10:42,4.95,12428
564558,,EDWARDIAN PARASOL BLACK,3.0,8/26/11 8:59,5.95,12704
564558,,EDWARDIAN PARASOL PINK,3.0,8/26/11 8:59,5.95,12704
564558,,JUMBO BAG RED RETROSPOT,10.0,8/26/11 8:59,2.08,12704
564558,21731,RED TOADSTOOL LED NIGHT LIGHT,12.0,8/26/11 8:59,1.65,12704
564558,,HANGING HEART ZINC T-LIGHT HOLDER,24.0,8/26/11 8:59,0.85,12704
564558,23203,JUMBO BAG VINTAGE DOILY,10.0,8/26/11 8:59,2.08,12704
564558,21080,SET/20 RED RETROSPOT PAPER NAPKINS,12.0,8/26/11 8:59,0.85,12704
564558,23145,ZINC T-LIGHT HOLDER STAR LARGE,12.0,8/26/11 8:59,0.95,12704
564558,20977,36 PENCILS TUBE WOODLAND,16.0,8/26/11 8:59,1.25,12704
564558,20979,36 PENCILS TUBE RED RETROSPOT,16.0,8/26/11 8:59,1.25,12704
564558,22414,DOORMAT NEIGHBOURHOOD WITCH,2.0,8/26/11 8:59,7.95,12704
564558,20685,DOORMAT RED RETROSPOT,2.0,8/26/11 8:59,7.95,12704
564558,22487,WHITE WOOD GARDEN PLANT LADDER,1.0,8/26/11 8:59,9.95,12704
564558,20750,RED RETROSPOT MINI CASES,2.0,8/26/11 8:59,7.95,12704
564558,23322,LARGE WHITE HEART OF WICKER,12.0,8/26/11 8:59,2.95,12704
564558,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4.0,8/26/11 8:59,3.75,12704
564558,22779,WOODEN OWLS LIGHT GARLAND,4.0,8/26/11 8:59,4.25,12704
564558,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4.0,8/26/11 8:59,3.75,12704
564558,,SINGLE HEART ZINC T-LIGHT HOLDER,12.0,8/26/11 8:59,0.95,12704
564558,,POSTAGE,2.0,8/26/11 8:59,40.0,12704
565333,,CHILDRENS CUTLERY POLKADOT PINK,8.0,9/2/11 14:23,4.15,12375
